iter	Passed	Remaining
812	3680	846
813	3685	842
814	3690	837
815	3695	833
816	3699	828
817	3703	823
818	3706	819
819	3710	814
820	3714	809
821	3717	805
822	3720	800
823	3723	795
824	3726	790
825	3729	785
826	3736	781
827	3740	776
828	3746	772
829	3751	768
830	3756	764
831	3765	760
832	3770	755
833	3774	751
834	3780	746
835	3786	742
836	3789	738
837	3795	733
838	3802	729
839	3809	725
840	3813	720
841	3818	716
842	3822	711
843	3826	707
844	3830	702
845	3833	697
846	3838	693
847	3842	688
848	3845	683
849	3848	679
850	3851	674
851	3854	669
852	3857	664
853	3861	660
854	3864	655
855	3867	650
856	3870	645
857	3874	641
858	3877	636
859	3881	631
860	3885	627
861	3890	622
862	3896	618
863	3900	613
864	3904	609
865	3908	604
866	3912	600
867	3915	595
868	3919	590
869	3925	586
870	3932	582
871	3936	577
872	3940	573
873	3943	568
874	3948	564
875	3953	559
876	3958	555
877	3962	550
878	3967	546
879	3973	541
880	3977	537
881	3983	532
882	3988	528
883	3992	523
884	3996	519
885	4003	515
886	4009	510
887	4016	506
888	4020	501
889	4023	497
890	4026	492
891	4031	488
892	4034	483
893	4039	478
894	4042	474
895	4049	470
896	4056	465
897	4065	461
898	4072	457
899	4075	452
900	4079	448
901	4082	443
902	4086	439
903	4090	434
904	4093	429
905	4097	425
906	4100	420
907	4104	415
908	4107	411
909	4110	406
910	4113	401
911	4117	397
912	4120	392
913	4124	388
914	4127	383
915	4130	378
916	4134	374
917	4137	369
918	4140	364
919	4144	360
920	4147	355
921	4151	351
922	4154	346
923	4157	341
924	4160	337
925	4163	332
926	4166	328
927	4170	323
928	4176	319
929	4181	314
930	4186	310
931	4189	305
932	4194	301
933	4200	296
934	4203	292
935	4207	287
936	4211	283
937	4216	278
938	4220	274
939	4226	269
940	4231	265
941	4234	260
942	4238	256
943	4242	251
944	4247	247
945	4251	242
946	4254	238
947	4260	233
948	4265	229
949	4269	224
950	4273	220
951	4276	215
952	4281	211
953	4284	206
954	4288	202
955	4292	197
956	4296	193
957	4300	188
958	4305	184
959	4311	179
960	4317	175
961	4323	170
962	4330	166
963	4339	162
964	4342	157
965	4346	152
966	4349	148
967	4352	143
968	4355	139
969	4359	134
970	4362	130
971	4365	125
972	4369	121
973	4371	116
974	4374	112
975	4377	107
976	4380	103
977	4383	98
978	4386	94
979	4389	89
980	4393	85
981	4396	80
982	4399	76
983	4402	71
984	4405	67
985	4408	62
986	4411	58
987	4415	53
988	4418	49
989	4421	44
990	4425	40
991	4429	35
992	4433	31
993	4436	26
994	4439	22
995	4442	17
996	4444	13
997	4447	8
998	4450	4
999	4453	0
