职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模
数据分析咨询助理（上海电缆所）,8千-1.1万,上海-杨浦区,不限,本科,['数据挖掘'],申能集团,国企 ,500-999人 
数据 分析师 运营师 统计师,1.5万-2.5万,上海-静安区,不限,本科,['数据分析'],喜士多,民营 ,1000-9999人 
经营分析（北区分公司）,1万-1.5万,上海-静安区,1-3年,本科,"['销售业务数据', '数据分析']",中国联通上海分公司,国企 ,1000-9999人 
数据开发工程师,1万-1.5万,上海-浦东新区,1-3年,大专,"['SQL', 'Hadoop', 'Kettle', 'Datastage']",南京云白信息科技有限公司,民营 ,20-99人 
数据分析师(接受无经验),8千-1万,上海-徐汇区,不限,大专,"['SPSS', 'SAS', 'R', 'Excel']",北京梦十分教育咨询有限公司,民营 ,20-99人 
商业数据分析师,1.2万-1.6万,上海-浦东新区,1-3年,硕士,"['Python', 'Excel']",汇纳科技,上市公司 ,500-999人 
助理 数据分析师,1万-1.5万,上海-静安区,不限,本科,['数据分析'],喜士多,民营 ,1000-9999人 
业务数据分析岗,7千-1万,上海-浦东新区,1-3年,大专,"['数据分析', 'SQL', 'Python', 'EXCEL、PPT']",上海威田资产管理有限公司,民营 ,500-999人 
初级数据分析师,6千-8千,上海,不限,本科,"['MySQL', 'excel']",上海同界数据科技股份有限公司,民营 ,20-99人 
数据分析（销售支持）,6千-1万,上海,1年以下,本科,"['数据分析', '统计学', '销售业务数据']",旺旺集团,上市公司 ,10000人以上 
数据库开发工程师,7千-1.4万,上海,1-3年,大专,"['SQL Server', '数据仓库', '数据处理', '数据分析']",郑州一迅软件科技有限公司,民营 ,20-99人 
急聘：数据银行分析师(电商行业),8千-1.2万,上海,1-3年,大专,"['电商数据运营', '数据银行', '生意参谋', '新客策', '电商数据分析']",杰薄斯贸易(上海)有限公司,外商独资 ,100-299人 
数据分析岗-浦东,8千-1.3万,上海-浦东新区,1-3年,本科,"['数据分析', '数理统计', 'excel', 'Python', 'Tableau']",上海威田资产管理有限公司,民营 ,500-999人 
销售数据分析（消费者行为）,1万-1.2万,上海-浦东新区,不限,本科,"['数据分析', 'excel', '英语']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 
电商运营 (数据分析),8千-1.2万,上海-长宁区,1-3年,大专,"['销售业务数据', '数据分析']",上海丸优贸易有限公司,合资 ,20-99人 
统计分析员/数据统计专员 助理,5千-7千,上海-徐汇区,不限,高中,['电商数据运营'],上海芯捷计算机科技有限公司,民营 ,100-299人 
网易游戏数据运维,9千-1.7万,上海-青浦区,不限,本科,"['SQL', 'Python', 'Hive', '舆情处置', '运营数据分析', '游戏运维', '网易大厂', '末日生存类游戏']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 
BI报表开发工程师,1.5万-2万,上海,1-3年,本科,"['SQL', '数据治理', '报表开发', '数据挖掘', '数据采集', 'FineBI', 'SQL Server']",卫宁健康,民营 ,1000-9999人 
供应链数据分析岗（美资头部服装企业）,1万-1.2万,上海-静安区,不限,本科,"['商业数据分析', 'excel', '销售数据运营', '经营数据分析', '市场数据分析']",上海中智项目外包咨询服务有限公司,国企 ,1000-9999人 
数据分析师（远程兼职）,1.2万-1.5万,上海-嘉定区,不限,本科,"['Python', 'SPSS', 'EVIEWS', 'Stata', 'R', 'Matlab']",苏州准雀教育咨询有限公司,民营 ,1000-9999人 
数据分析师,8千-1.3万,上海-浦东新区,1-3年,本科,['多元统计分析'],上海蛮牛新能源科技有限公司,民营 ,20-99人 
数据分析师（正编+早九晚五+待遇好）,1万-2万,上海-长宁区,不限,本科,"['数据分析', 'SQL', 'Python']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 
数据分析主管,1万-1.5万,上海-普陀区,1-3年,大专,"['数据分析', 'Excel']",品渥食品,上市公司 ,500-999人 
数据专员,6千-8千,上海,不限,本科,['office'],上海思勃商务咨询有限公司,民营 ,20-99人 
中级数据统计分析师,1万-1.2万,上海,1-3年,本科,"['数据分析', '大数据分析', '数据挖掘', '市场数据分析', '经营数据分析']",韵达快递,上市公司 ,10000人以上 
